BillNo,ItemID,Quantity,SellingDate,SellingPrice,StudentID,TransactionID,final_rating,Hours,Segment,SellingDates,UniqueID
39,2,2,2020-08-18 18:41:07,8.0,F2682,2,2,18,F2,2020-08-18,392020-08-18
42,2,1,2020-08-20 18:44:24,8.0,F2014,1,4,18,F2,2020-08-20,422020-08-20
54,2,2,2020-08-19 18:04:24,8.0,F2139,1,1,18,F2,2020-08-19,542020-08-19
55,2,2,2020-08-19 18:07:37,8.0,F2115,3,2,18,F2,2020-08-19,552020-08-19
56,2,2,2020-08-19 18:08:22,8.0,F2116,1,2,18,F2,2020-08-19,562020-08-19
57,2,1,2020-08-22 18:00:07,8.0,F2318,1,5,18,F2,2020-08-22,572020-08-22
58,2,1,2020-08-22 18:00:16,8.0,F2224,1,4,18,F2,2020-08-22,582020-08-22
67,2,2,2020-08-19 18:28:34,8.0,F2102,1,2,18,F2,2020-08-19,672020-08-19
68,2,2,2020-08-22 18:09:04,8.0,F2255,1,3,18,F2,2020-08-22,682020-08-22
69,2,1,2020-08-19 18:30:44,8.0,F2627,1,4,18,F2,2020-08-19,692020-08-19
69,2,2,2020-08-22 18:09:17,8.0,F2247,1,2,18,F2,2020-08-22,692020-08-22
71,2,1,2020-08-22 18:09:44,8.0,F2067,1,1,18,F2,2020-08-22,712020-08-22
74,2,6,2020-08-22 18:11:14,8.0,F2801,1,2,18,F2,2020-08-22,742020-08-22
80,2,1,2020-08-22 18:13:50,8.0,F2346,1,2,18,F2,2020-08-22,802020-08-22
82,2,1,2020-08-22 18:14:54,8.0,F2067,1,3,18,F2,2020-08-22,822020-08-22
85,2,1,2020-08-21 18:24:34,8.0,F2751,1,1,18,F2,2020-08-21,852020-08-21
91,2,2,2020-08-21 18:30:36,8.0,F2627,1,4,18,F2,2020-08-21,912020-08-21
100,2,2,2020-08-21 18:37:42,8.0,F2259,1,3,18,F2,2020-08-21,1002020-08-21
18,2,7,2020-08-18 18:24:45,8.0,F3811,2,3,18,F3,2020-08-18,182020-08-18
21,2,1,2020-08-18 18:25:02,8.0,F3138,2,1,18,F3,2020-08-18,212020-08-18
22,2,1,2020-08-18 18:25:09,8.0,F3326,1,3,18,F3,2020-08-18,222020-08-18
25,2,3,2020-08-18 18:25:35,8.0,F3713,1,5,18,F3,2020-08-18,252020-08-18
26,2,2,2020-08-18 18:25:53,8.0,F3459,1,2,18,F3,2020-08-18,262020-08-18
28,2,1,2020-08-18 18:26:43,8.0,F3701,2,1,18,F3,2020-08-18,282020-08-18
