Users,Items
4142020-09-27,"[76, 141, 151]"
4142020-09-26,[180]
662020-11-17,"[2, 123]"
662020-11-16,"[2, 123]"
662020-11-15,[188]
662020-11-14,[2]
662020-11-13,[123]
662020-11-12,[2]
662020-11-11,[2]
662020-11-10,[2]
16812020-09-17,[12]
16812020-09-10,[12]
662020-11-19,[2]
662020-11-18,[2]
7382020-09-24,[132]
7382020-09-25,[128]
7382020-09-26,[100]
7382020-09-27,"[76, 134]"
7382020-09-20,[169]
12152020-09-02,"[140, 146, 151, 154, 161, 163]"
532020-11-05,[160]
7382020-09-23,[148]
4362020-08-22,"[26, 154]"
7382020-09-28,"[151, 164]"
7382020-09-29,[107]
3222020-11-14,[188]
7122020-08-23,"[107, 154, 155]"
7122020-08-21,[163]
7122020-08-20,"[19, 155]"
7122020-08-27,[159]
4262020-08-28,"[12, 161]"
7122020-08-25,[140]
7122020-08-24,[151]
9102020-10-07,"[151, 154]"
4262020-08-24,[155]
7122020-08-29,"[138, 154]"
7122020-08-28,[138]
4262020-08-21,"[146, 151]"
4612020-10-24,"[151, 164]"
4262020-08-23,[159]
4262020-08-22,[140]
13552020-10-28,"[134, 178]"
13472020-09-19,[169]
13552020-10-21,"[76, 134, 142]"
13552020-10-20,[134]
13552020-10-23,"[1, 18, 93, 140, 140]"
13552020-10-22,[192]
13552020-10-25,[169]
13552020-10-24,[157]
13552020-10-27,[100]
3772020-08-17,[156]
4462020-09-19,"[128, 151, 151]"
4462020-09-18,[76]
20202020-09-26,[175]
1052020-09-13,"[2, 179]"
4462020-09-11,[74]
4462020-09-10,[154]
4462020-09-13,[154]
4462020-09-12,[130]
4462020-09-15,[76]
4462020-09-14,"[12, 164]"
4462020-09-17,[93]
4462020-09-16,"[74, 148]"
11662020-08-28,"[139, 155]"
11662020-08-29,"[154, 170]"
2052020-10-29,"[124, 154, 173]"
2052020-10-28,[135]
2052020-10-27,"[22, 26]"
5692020-10-01,"[21, 168]"
2052020-10-25,[93]
11662020-08-23,[138]
2052020-10-23,[168]
5692020-10-05,"[74, 93, 169]"
2052020-10-21,"[26, 76]"
11662020-08-27,"[138, 155]"
1332020-09-04,[130]
13962020-09-19,[170]
2682020-10-28,"[108, 176]"
9792020-11-15,[138]
9062020-09-05,[141]
19842020-10-02,[134]
472020-11-29,[2]
472020-11-28,[2]
5252020-09-04,[22]
5252020-09-05,"[21, 76, 76]"
5252020-09-02,"[130, 154]"
11152020-09-09,"[25, 128, 154]"
5252020-09-01,"[26, 124]"
472020-11-21,"[2, 123]"
472020-11-20,[107]
472020-11-23,"[20, 107]"
472020-11-22,[169]
472020-11-25,"[151, 188]"
3692020-08-27,[124]
472020-11-27,[22]
472020-11-26,"[2, 2, 123]"
2032020-10-25,[76]
2032020-10-24,"[26, 171]"
342020-09-19,[25]
8712020-09-29,"[76, 142]"
2032020-10-21,[108]
2032020-10-20,"[146, 151]"
9182020-08-18,"[107, 130, 168]"
9182020-08-19,[129]
342020-09-13,"[2, 123]"
342020-09-12,[123]
342020-09-11,[2]
342020-09-10,[22]
342020-09-17,"[2, 123]"
342020-09-16,[2]
342020-09-15,[2]
3692020-08-20,[12]
16552020-11-12,[134]
9012020-10-24,"[76, 154]"
11152020-09-04,"[135, 167]"
16552020-11-16,[154]
10552020-10-19,[193]
10552020-10-18,[138]
10552020-10-17,"[128, 156]"
10552020-10-16,"[134, 138, 141, 155, 169]"
10552020-10-15,[74]
10552020-10-14,[22]
10552020-10-13,[107]
9012020-10-26,[130]
10552020-10-11,"[74, 100, 142]"
10552020-10-10,[134]
1412020-08-18,[151]
10352020-11-23,"[130, 134, 169]"
5042020-09-28,[148]
9022020-08-25,"[107, 156]"
5022020-09-26,[151]
1602020-11-14,[188]
4082020-11-09,"[146, 151]"
2682020-10-23,"[146, 151]"
8712020-09-20,[130]
20132020-09-26,"[15, 76, 105]"
9022020-08-23,[151]
8712020-09-21,[128]
9012020-10-22,[76]
17832020-11-19,[76]
17832020-11-16,[128]
3892020-11-14,[128]
9022020-08-21,"[151, 156, 169]"
3692020-08-28,[155]
10922020-10-14,[187]
2522020-11-29,[188]
8712020-09-24,[130]
172020-09-15,[169]
8712020-09-25,"[128, 184]"
15162020-08-30,[157]
15752020-10-21,[169]
5782020-11-27,"[76, 141]"
5782020-11-26,"[1, 124]"
5782020-11-25,[139]
5782020-11-24,[142]
5782020-11-23,"[128, 135]"
5782020-11-22,[138]
5782020-11-21,[76]
5782020-11-20,[128]
13452020-10-01,[128]
13452020-10-03,"[128, 128]"
13452020-10-04,[151]
13452020-10-06,"[142, 156]"
16572020-11-19,"[25, 134]"
5022020-09-20,[169]
1742020-10-14,[169]
16712020-09-08,[128]
16712020-09-09,[130]
11782020-09-09,[140]
4082020-11-02,[169]
18782020-10-04,[173]
10712020-09-22,[76]
10712020-09-20,"[93, 154]"
10712020-09-21,[76]
10712020-09-26,[129]
10712020-09-27,"[12, 128]"
10712020-09-24,[139]
10712020-09-25,"[146, 151]"
10712020-09-28,"[134, 139, 141, 186]"
10712020-09-29,[107]
10922020-10-16,"[74, 154, 178]"
1972020-10-19,[171]
11842020-08-28,[138]
592020-09-29,"[2, 123]"
592020-09-28,"[2, 123]"
7412020-11-08,[169]
7482020-08-21,[154]
4192020-09-18,"[146, 151]"
592020-09-21,[2]
592020-09-20,[2]
592020-09-23,[2]
592020-09-22,[2]
592020-09-25,"[2, 2]"
592020-09-24,[14]
592020-09-27,[2]
592020-09-26,"[2, 108, 179]"
3942020-10-08,"[128, 154]"
3942020-10-09,"[74, 74, 154]"
3942020-10-02,[154]
3942020-10-03,"[169, 187]"
3942020-10-01,"[151, 164]"
3942020-10-06,[154]
3942020-10-07,[139]
3942020-10-04,[190]
3942020-10-05,[142]
1852020-11-23,"[146, 151]"
7432020-09-15,[134]
6082020-11-06,"[76, 154]"
7432020-09-14,"[2, 128]"
15532020-10-18,"[154, 156, 169]"
1852020-11-21,[188]
6982020-09-25,[148]
6172020-09-19,[154]
6172020-09-18,"[128, 141]"
15192020-09-17,[173]
11172020-08-18,"[128, 154]"
6172020-09-11,[76]
1662020-10-29,"[26, 76]"
6172020-09-13,[169]
3312020-11-08,[142]
6172020-09-15,"[138, 141]"
6172020-09-14,"[18, 76]"
6172020-09-17,[45]
1162020-10-18,[2]
10852020-08-28,"[15, 51, 154]"
10852020-08-29,"[128, 161]"
232020-09-25,"[2, 74]"
1852020-11-25,"[146, 151]"
7102020-08-18,"[128, 140]"
10852020-08-22,"[140, 154, 162]"
10852020-08-23,"[163, 170]"
10852020-08-24,"[133, 138]"
10852020-08-25,"[14, 154, 155]"
10852020-08-26,"[107, 128]"
4192020-09-14,"[12, 140, 154]"
12322020-10-21,[12]
1662020-10-25,[2]
12322020-10-23,"[12, 128, 134]"
1572020-11-07,[2]
12322020-10-25,[193]
1572020-11-01,[76]
1572020-11-02,"[130, 193]"
12322020-10-26,[151]
9462020-09-10,[93]
12322020-10-28,[15]
9462020-09-12,[151]
9462020-09-13,"[128, 154]"
1572020-11-08,"[12, 130, 188]"
1572020-11-09,[18]
9462020-09-16,"[108, 128, 154]"
9462020-09-17,[76]
1372020-11-06,"[26, 100]"
1372020-11-07,[2]
1372020-11-04,"[107, 193]"
1662020-10-26,"[2, 123]"
1372020-11-02,[22]
1372020-11-01,[123]
16912020-09-30,[142]
4392020-09-16,[169]
1372020-11-08,[169]
1372020-11-09,[1]
10232020-11-10,[154]
6082020-11-09,"[124, 134]"
10872020-09-02,"[74, 76, 140]"
17682020-10-03,[134]
11012020-08-19,[148]
6082020-11-08,"[142, 154]"
9612020-10-19,"[141, 169, 193]"
9612020-10-18,"[146, 151, 154]"
4612020-10-28,[142]
12492020-10-22,"[169, 188]"
17162020-10-18,"[128, 169]"
9612020-10-13,[128]
9612020-10-12,[188]
9612020-10-11,[187]
9612020-10-10,[142]
9612020-10-17,"[146, 151]"
9612020-10-16,"[74, 154]"
17162020-10-11,[128]
17162020-10-10,[134]
9262020-10-28,"[14, 93]"
6772020-10-08,"[134, 151]"
9262020-10-21,[155]
9262020-10-20,"[93, 139, 177]"
9262020-10-23,[138]
9262020-10-22,"[12, 128]"
9262020-10-25,[169]
9262020-10-24,[154]
6602020-10-31,"[18, 155]"
9262020-10-26,"[128, 154]"
5662020-09-27,[161]
18072020-10-18,[151]
1522020-08-28,[156]
18072020-10-10,[128]
18072020-10-11,"[128, 134]"
18072020-10-17,[134]
412020-09-19,[169]
14852020-10-18,[193]
5672020-11-12,[138]
782020-10-05,[179]
5242020-11-20,[128]
12662020-10-09,"[128, 134, 154]"
1072020-09-08,[107]
1072020-09-09,"[2, 123]"
5242020-11-24,"[107, 134]"
5242020-11-25,[130]
5242020-11-26,[124]
4682020-08-19,"[21, 169]"
1072020-09-02,"[76, 151]"
4682020-08-17,"[136, 154, 161]"
4682020-08-14,"[51, 107]"
1072020-09-01,"[76, 93]"
12662020-10-04,[76]
1072020-09-07,[20]
7692020-11-29,"[1, 134]"
12662020-10-07,"[76, 142]"
542020-09-19,[169]
542020-09-18,[2]
13322020-09-14,[156]
3892020-11-16,[151]
542020-09-11,[2]
542020-09-10,"[2, 123]"
542020-09-13,[179]
542020-09-12,[14]
542020-09-15,[123]
542020-09-14,[2]
542020-09-17,"[2, 169]"
542020-09-16,[2]
17362020-09-22,[169]
17362020-09-20,"[76, 159]"
17362020-09-21,[134]
17362020-09-26,[130]
17362020-09-27,"[12, 76]"
17362020-09-28,[151]
17362020-09-29,[142]
2142020-09-22,"[2, 123]"
5662020-09-29,"[46, 107]"
4162020-11-28,[164]
16142020-11-17,"[193, 193]"
782020-10-03,[170]
5662020-09-28,[148]
10732020-09-05,"[12, 154]"
10242020-09-04,"[12, 130]"
1512020-11-24,[171]
15492020-10-09,[139]
15492020-10-06,[142]
15492020-10-07,"[50, 134, 160]"
15492020-10-05,"[142, 186]"
15492020-10-02,[154]
