0,1,2
"frozenset(['142', '169'])",0.0027507952,"[OrderedStatistic(items_base=frozenset(['142']), items_add=frozenset(['169']), confidence=0.065, lift=0.8030295727473247), OrderedStatistic(items_base=frozenset(['169']), items_add=frozenset(['142']), confidence=0.03398415162159955, lift=0.8030295727473247)]"
"frozenset(['76', '130'])",0.0026846703,"[OrderedStatistic(items_base=frozenset(['130']), items_add=frozenset(['76']), confidence=0.051418439716312055, lift=0.5767660005828628), OrderedStatistic(items_base=frozenset(['76']), items_add=frozenset(['130']), confidence=0.030114226375908618, lift=0.5767660005828628)]"
"frozenset(['151', '155'])",0.0026846703,"[OrderedStatistic(items_base=frozenset(['151']), items_add=frozenset(['155']), confidence=0.03443596268023749, lift=1.0537669364972957), OrderedStatistic(items_base=frozenset(['155']), items_add=frozenset(['151']), confidence=0.08215297450424928, lift=1.0537669364972955)]"
"frozenset(['107', '169'])",0.0026714453,"[OrderedStatistic(items_base=frozenset(['107']), items_add=frozenset(['169']), confidence=0.07067879636109167, lift=0.8731871329868094), OrderedStatistic(items_base=frozenset(['169']), items_add=frozenset(['107']), confidence=0.033003839555591864, lift=0.8731871329868094)]"
frozenset(['136']),0.0026582203,"[OrderedStatistic(items_base=frozenset([]), items_add=frozenset(['136']), confidence=0.002658220314886695, lift=1.0)]"
"frozenset(['151', '164', '154'])",0.0026383828,"[OrderedStatistic(items_base=frozenset(['151', '154']), items_add=frozenset(['164']), confidence=0.448314606741573, lift=14.897422470428772), OrderedStatistic(items_base=frozenset(['151', '164']), items_add=frozenset(['154']), confidence=0.10783783783783783, lift=0.8003635835482125), OrderedStatistic(items_base=frozenset(['164', '154']), items_add=frozenset(['151']), confidence=0.927906976744186, lift=11.902158115864843)]"
"frozenset(['15', '154'])",0.0025788705,"[OrderedStatistic(items_base=frozenset(['15']), items_add=frozenset(['154']), confidence=0.1260096930533118, lift=0.9352336018236793), OrderedStatistic(items_base=frozenset(['154']), items_add=frozenset(['15']), confidence=0.019140164899882215, lift=0.9352336018236793)]"
"frozenset(['76', '148'])",0.0025524205,"[OrderedStatistic(items_base=frozenset(['148']), items_add=frozenset(['76']), confidence=0.10062565172054223, lift=1.1287284293165614), OrderedStatistic(items_base=frozenset(['76']), items_add=frozenset(['148']), confidence=0.028630766948523956, lift=1.1287284293165614)]"
"frozenset(['146', '151', '76'])",0.002532583,"[OrderedStatistic(items_base=frozenset(['146', '151']), items_add=frozenset(['76']), confidence=0.08674971687429218, lift=0.9730806210638133), OrderedStatistic(items_base=frozenset(['146', '76']), items_add=frozenset(['151']), confidence=0.916267942583732, lift=11.752865537658627), OrderedStatistic(items_base=frozenset(['151', '76']), items_add=frozenset(['146']), confidence=0.4100642398286938, lift=11.69626648907083)]"
"frozenset(['128', '135'])",0.0024995206,"[OrderedStatistic(items_base=frozenset(['128']), items_add=frozenset(['135']), confidence=0.01830508474576271, lift=0.7469669889414325), OrderedStatistic(items_base=frozenset(['135']), items_add=frozenset(['128']), confidence=0.10199676200755532, lift=0.7469669889414327)]"
"frozenset(['128', '74'])",0.0023540459,"[OrderedStatistic(items_base=frozenset(['128']), items_add=frozenset(['74']), confidence=0.017239709443099275, lift=0.9351305664886874), OrderedStatistic(items_base=frozenset(['74']), items_add=frozenset(['128']), confidence=0.1276901004304161, lift=0.9351305664886874)]"
"frozenset(['76', '141'])",0.002274696,"[OrderedStatistic(items_base=frozenset(['141']), items_add=frozenset(['76']), confidence=0.10753360425132855, lift=1.206215653265403), OrderedStatistic(items_base=frozenset(['76']), items_add=frozenset(['141']), confidence=0.02551550215101617, lift=1.2062156532654031)]"
"frozenset(['130', '169'])",0.0022548585,"[OrderedStatistic(items_base=frozenset(['130']), items_add=frozenset(['169']), confidence=0.04318642350557244, lift=0.5335380802486901), OrderedStatistic(items_base=frozenset(['169']), items_add=frozenset(['130']), confidence=0.02785720120905155, lift=0.53353808024869)]"
