0,1,2
frozenset([12]),0.0175015737,"[OrderedStatistic(items_base=frozenset([]), items_add=frozenset([12]), confidence=0.017501573733558626, lift=1.0)]"
frozenset([148]),0.0161059206,"[OrderedStatistic(items_base=frozenset([]), items_add=frozenset([148]), confidence=0.016105920551303714, lift=1.0)]"
frozenset(['H1']),0.0158740019,"[OrderedStatistic(items_base=frozenset([]), items_add=frozenset(['H1']), confidence=0.015874001921611505, lift=1.0)]"
"frozenset(['F3', 76])",0.0157911738,"[OrderedStatistic(items_base=frozenset([76]), items_add=frozenset(['F3']), confidence=0.2786465945629933, lift=1.0164381193376932), OrderedStatistic(items_base=frozenset(['F3']), items_add=frozenset([76]), confidence=0.05760253795603898, lift=1.0164381193376932)]"
"frozenset([169, 'F3'])",0.0156172349,"[OrderedStatistic(items_base=frozenset([169]), items_add=frozenset(['F3']), confidence=0.3035010060362173, lift=1.1071012451322484), OrderedStatistic(items_base=frozenset(['F3']), items_add=frozenset([169]), confidence=0.056968048946295036, lift=1.1071012451322484)]"
"frozenset(['F0', '22H'])",0.0155385482,"[OrderedStatistic(items_base=frozenset(['22H']), items_add=frozenset(['F0']), confidence=0.08677150786308974, lift=0.9929950414527535), OrderedStatistic(items_base=frozenset(['F0']), items_add=frozenset(['22H']), confidence=0.17781990521327015, lift=0.9929950414527536)]"
frozenset([135]),0.015526124,"[OrderedStatistic(items_base=frozenset([]), items_add=frozenset([135]), confidence=0.015526123977073187, lift=1.0)]"
"frozenset([2, 'F2', '17H'])",0.0153604678,"[OrderedStatistic(items_base=frozenset([2, '17H']), items_add=frozenset(['F2']), confidence=0.5016907885837955, lift=1.719765255176002), OrderedStatistic(items_base=frozenset([2, 'F2']), items_add=frozenset(['17H']), confidence=0.8404713346929527, lift=9.652947600851366), OrderedStatistic(items_base=frozenset(['F2', '17H']), items_add=frozenset([2]), confidence=0.3578043604090295, lift=9.135758917395147)]"
"frozenset([154, 'F4'])",0.0152983468,"[OrderedStatistic(items_base=frozenset([154]), items_add=frozenset(['F4']), confidence=0.17678870543192154, lift=0.9951303813416673), OrderedStatistic(items_base=frozenset(['F4']), items_add=frozenset([154]), confidence=0.08611324801268154, lift=0.9951303813416672)]"
frozenset([124]),0.0149711758,"[OrderedStatistic(items_base=frozenset([]), items_add=frozenset([124]), confidence=0.01497117582745254, lift=1.0)]"
"frozenset([154, '21H'])",0.0146854189,"[OrderedStatistic(items_base=frozenset([154]), items_add=frozenset(['21H']), confidence=0.16970567121320893, lift=1.3104093311319205), OrderedStatistic(items_base=frozenset(['21H']), items_add=frozenset([154]), confidence=0.11339579802372807, lift=1.3104093311319203)]"
"frozenset(['00H', 134])",0.0145984495,"[OrderedStatistic(items_base=frozenset([134]), items_add=frozenset(['00H']), confidence=0.31070956368444247, lift=1.8435062556330988), OrderedStatistic(items_base=frozenset(['00H']), items_add=frozenset([134]), confidence=0.08661572106052044, lift=1.843506255633099)]"
frozenset(['H2']),0.0145239042,"[OrderedStatistic(items_base=frozenset([]), items_add=frozenset(['H2']), confidence=0.014523904184474704, lift=1.0)]"
"frozenset(['F2', 76])",0.0143996621,"[OrderedStatistic(items_base=frozenset([76]), items_add=frozenset(['F2']), confidence=0.2540923706518562, lift=0.8710130634168058), OrderedStatistic(items_base=frozenset(['F2']), items_add=frozenset([76]), confidence=0.04936115843270869, lift=0.8710130634168058)]"
"frozenset(['01H', 'F2'])",0.0140683497,"[OrderedStatistic(items_base=frozenset(['01H']), items_add=frozenset(['F2']), confidence=0.26402922431214054, lift=0.9050759883490446), OrderedStatistic(items_base=frozenset(['F2']), items_add=frozenset(['01H']), confidence=0.04822544009085747, lift=0.9050759883490446)]"
"frozenset(['F0', '23H'])",0.0135838055,"[OrderedStatistic(items_base=frozenset(['23H']), items_add=frozenset(['F0']), confidence=0.06271270697105275, lift=0.7176711410454162), OrderedStatistic(items_base=frozenset(['F0']), items_add=frozenset(['23H']), confidence=0.15545023696682467, lift=0.7176711410454161)]"
"frozenset([154, '00H'])",0.013558957,"[OrderedStatistic(items_base=frozenset([154]), items_add=frozenset(['00H']), confidence=0.1566882029193587, lift=0.9296646000864937), OrderedStatistic(items_base=frozenset(['00H']), items_add=frozenset([154]), confidence=0.08044819028429614, lift=0.9296646000864937)]"
"frozenset(['F2', 134])",0.0135506742,"[OrderedStatistic(items_base=frozenset([134]), items_add=frozenset(['F2']), confidence=0.2884089907448215, lift=0.988648332498688), OrderedStatistic(items_base=frozenset(['F2']), items_add=frozenset([134]), confidence=0.046450880181714935, lift=0.9886483324986879)]"
"frozenset(['01H', 'F3'])",0.0134844118,"[OrderedStatistic(items_base=frozenset(['01H']), items_add=frozenset(['F3']), confidence=0.2530701072594435, lift=0.9231410284658096), OrderedStatistic(items_base=frozenset(['F3']), items_add=frozenset(['01H']), confidence=0.049188005136339606, lift=0.9231410284658096)]"
"frozenset([123, '17H'])",0.0134098665,"[OrderedStatistic(items_base=frozenset([123]), items_add=frozenset(['17H']), confidence=0.7486705202312138, lift=8.598600575395254), OrderedStatistic(items_base=frozenset(['17H']), items_add=frozenset([123]), confidence=0.1540144596651446, lift=8.598600575395254)]"
